Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,1.0,1.02,0.97,1.01,1.01,19300
2019-05-17,1.02,1.02,1.0,1.02,1.02,25400
2019-05-20,1.0,1.02,0.95,0.99,0.99,42600
2019-05-21,1.02,1.02,0.95,1.0,1.0,65600
2019-05-22,1.0,1.0,0.95,0.96,0.96,30600
2019-05-23,0.95,0.95,0.91,0.92,0.92,86400
2019-05-24,0.95,0.96,0.92,0.95,0.95,42400
2019-05-28,0.96,0.99,0.95,0.98,0.98,140900
2019-05-29,0.98,1.04,0.98,1.03,1.03,239400
2019-05-30,1.04,1.18,1.01,1.16,1.16,175600
2019-05-31,1.16,1.18,1.1,1.13,1.13,68900
2019-06-03,1.11,1.16,1.05,1.08,1.08,44200
2019-06-04,1.05,1.19,1.05,1.19,1.19,130900
2019-06-05,1.16,1.21,1.16,1.18,1.18,50400
2019-06-06,1.17,1.2,1.12,1.12,1.12,39400
2019-06-07,1.12,1.18,1.1,1.16,1.16,107900
2019-06-10,1.2,1.2,1.1,1.14,1.14,96400
2019-06-11,1.14,1.16,1.1,1.11,1.11,32100
2019-06-12,1.15,1.15,1.09,1.1,1.1,114300
2019-06-13,1.12,1.14,1.06,1.13,1.13,81700
2019-06-14,1.14,1.14,1.08,1.08,1.08,35500
2019-06-17,1.09,1.11,1.06,1.1,1.1,82300
2019-06-18,1.1,1.1,1.07,1.08,1.08,103200
2019-06-19,1.06,1.09,1.05,1.05,1.05,45700
2019-06-20,1.08,1.09,1.06,1.07,1.07,27700
2019-06-21,1.09,1.09,1.05,1.05,1.05,70000
2019-06-24,1.04,1.05,1.02,1.02,1.02,23000
2019-06-25,1.03,1.06,1.01,1.04,1.04,100500
2019-06-26,1.04,1.07,1.04,1.04,1.04,76500
2019-06-27,1.03,1.07,1.01,1.01,1.01,23300
2019-06-28,1.01,1.06,1.01,1.01,1.01,86300
2019-07-01,1.04,1.04,1.01,1.02,1.02,43800
2019-07-02,1.03,1.03,0.95,0.99,0.99,73500
2019-07-03,0.99,1.0,0.95,0.98,0.98,33400
2019-07-05,0.96,0.99,0.96,0.99,0.99,64800
2019-07-08,0.96,1.0,0.96,0.98,0.98,24700
2019-07-09,0.95,0.98,0.95,0.97,0.97,24500
2019-07-10,0.99,1.0,0.98,0.99,0.99,79200
2019-07-11,1.0,1.04,0.99,0.99,0.99,72400
2019-07-12,0.99,1.01,0.99,1.0,1.0,81400
2019-07-15,1.01,1.01,0.95,0.97,0.97,83000
2019-07-16,1.0,1.0,0.98,0.99,0.99,62900
2019-07-17,0.99,1.0,0.98,0.98,0.98,62200
2019-07-18,0.99,0.99,0.97,0.98,0.98,129600
2019-07-19,1.0,1.0,0.96,0.97,0.97,138300
2019-07-22,1.0,1.01,0.96,1.01,1.01,76000
2019-07-23,0.99,1.02,0.99,0.99,0.99,33800
2019-07-24,0.98,1.02,0.98,0.98,0.98,24700
2019-07-25,1.0,1.0,0.96,0.97,0.97,42500
2019-07-26,0.97,0.98,0.97,0.98,0.98,26000
2019-07-29,0.97,0.99,0.96,0.96,0.96,75300
2019-07-30,0.96,0.97,0.95,0.97,0.97,46700
2019-07-31,0.95,0.99,0.94,0.94,0.94,229800
2019-08-01,0.91,0.96,0.89,0.89,0.89,179100
2019-08-02,0.91,0.93,0.9,0.92,0.92,37800
2019-08-05,0.9,0.91,0.88,0.88,0.88,67200
2019-08-06,0.88,0.92,0.86,0.87,0.87,92800
2019-08-07,0.83,0.9,0.82,0.83,0.83,116600
2019-08-08,0.84,0.9,0.84,0.86,0.86,24500
2019-08-09,0.88,0.91,0.88,0.9,0.9,26300
2019-08-12,0.89,0.89,0.83,0.89,0.89,4700
2019-08-13,0.84,0.89,0.84,0.88,0.88,18900
2019-08-14,0.82,0.87,0.8,0.84,0.84,167700
2019-08-15,0.82,0.9,0.82,0.84,0.84,70900
2019-08-16,0.86,0.89,0.86,0.87,0.87,24400
2019-08-19,0.91,0.91,0.87,0.88,0.88,20600
2019-08-20,0.88,0.88,0.86,0.87,0.87,42100
2019-08-21,0.86,0.88,0.85,0.87,0.87,7800
2019-08-22,0.86,0.87,0.84,0.86,0.86,48500
2019-08-23,0.86,0.86,0.84,0.84,0.84,6700
2019-08-26,0.84,0.85,0.8,0.82,0.82,67100
2019-08-27,0.82,0.86,0.8,0.82,0.82,11500
2019-08-28,0.83,0.83,0.8,0.81,0.81,8200
2019-08-29,0.8,0.85,0.8,0.81,0.81,34700
2019-08-30,0.82,0.87,0.8,0.87,0.87,35800
2019-09-03,0.87,0.87,0.8,0.86,0.86,15100
2019-09-04,0.86,0.86,0.8,0.83,0.83,12600
2019-09-05,0.81,0.86,0.8,0.86,0.86,23200
2019-09-06,0.83,0.86,0.79,0.85,0.85,7700
2019-09-09,0.81,0.85,0.79,0.82,0.82,29000
2019-09-10,0.8,0.85,0.79,0.81,0.81,52900
2019-09-11,0.78,0.81,0.78,0.79,0.79,148300
2019-09-12,0.82,0.82,0.77,0.77,0.77,84200
2019-09-13,0.77,0.82,0.75,0.82,0.82,80000
2019-09-16,0.8,0.87,0.75,0.86,0.86,78700
2019-09-17,0.86,0.93,0.83,0.89,0.89,42700
2019-09-18,0.91,0.91,0.86,0.88,0.88,16100
2019-09-19,0.86,0.89,0.83,0.83,0.83,19300
2019-09-20,0.83,0.85,0.81,0.84,0.84,68800
2019-09-23,0.83,0.83,0.8,0.81,0.81,42100
2019-09-24,0.83,0.85,0.81,0.81,0.81,10100
2019-09-25,0.8,0.84,0.8,0.82,0.82,59000
2019-09-26,0.83,0.92,0.79,0.89,0.89,107300
2019-09-27,0.86,0.96,0.86,0.95,0.95,57300
2019-09-30,0.93,0.98,0.89,0.98,0.98,17500
2019-10-01,0.95,1.0,0.94,0.95,0.95,10800
