Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2019-04-11,1.25,1.28,1.23,1.25,1.25,22700,-0.015748031496062964
2019-04-12,1.26,1.27,1.17,1.17,1.17,91700,-0.06400000000000006
2019-04-15,1.18,1.19,1.11,1.12,1.12,87400,-0.04273504273504258
2019-04-16,1.11,1.14,1.07,1.1,1.1,91600,-0.017857142857142905
2019-04-17,1.07,1.16,1.06,1.12,1.12,79400,0.0181818181818183
2019-04-18,1.12,1.22,1.06,1.09,1.09,113500,-0.0267857142857143
2019-04-22,1.08,1.13,1.03,1.04,1.04,437100,-0.04587155963302758
2019-04-23,1.04,1.08,1.03,1.04,1.04,154700,0.0
2019-04-24,1.02,1.06,1.02,1.02,1.02,86500,-0.019230769230769273
2019-04-25,1.03,1.06,0.91,1.0,1.0,288100,-0.019607843137254943
2019-04-26,0.99,1.04,0.97,1.02,1.02,155800,0.020000000000000018
2019-04-29,1.0,1.02,0.97,1.0,1.0,74800,-0.019607843137254943
2019-04-30,1.0,1.01,0.98,1.0,1.0,45800,0.0
2019-05-01,0.99,0.99,0.94,0.96,0.96,33900,-0.040000000000000036
2019-05-02,0.97,0.98,0.92,0.92,0.92,106400,-0.04166666666666663
2019-05-03,0.92,0.94,0.88,0.89,0.89,239600,-0.03260869565217395
2019-05-06,0.92,0.96,0.91,0.94,0.94,266500,0.05617977528089879
2019-05-07,0.99,1.01,0.94,0.94,0.94,281100,0.0
2019-05-08,1.0,1.04,0.99,1.02,1.02,106100,0.08510638297872353
2019-05-09,1.07,1.14,1.0,1.01,1.01,330700,-0.009803921568627416
2019-05-10,1.06,1.06,1.0,1.01,1.01,80500,0.0
2019-05-13,1.02,1.02,0.96,0.96,0.96,106600,-0.04950495049504955
2019-05-14,1.0,1.0,0.95,0.98,0.98,135600,0.02083333333333326
2019-05-15,1.0,1.01,0.98,1.0,1.0,60900,0.020408163265306145
2019-05-16,1.0,1.02,0.97,1.01,1.01,19300,0.010000000000000009
2019-05-17,1.02,1.02,1.0,1.02,1.02,25400,0.00990099009900991
2019-05-20,1.0,1.02,0.95,0.99,0.99,42600,-0.02941176470588236
2019-05-21,1.02,1.02,0.95,1.0,1.0,65600,0.010101010101010166
2019-05-22,1.0,1.0,0.95,0.96,0.96,30600,-0.040000000000000036
2019-05-23,0.95,0.95,0.91,0.92,0.92,86400,-0.04166666666666663
2019-05-24,0.95,0.96,0.92,0.95,0.95,42400,0.032608695652173836
2019-05-28,0.96,0.99,0.95,0.98,0.98,140900,0.03157894736842115
